trialDuration,stimulus2Loaded,trialEndTime,maxTrialTime,stimulus1Bid,receivedResponse,delta,rt,selected,rsp,trialStartTime,trialN,stimulus2Bid,stimulus1,stimulus1Loaded,stimulus2
5.48999999999,False,92316.865,4000,0.76,True,-0.55,5.48999999999,Doritosranch,i,92311.375,46,0.21,Ghiradelli_milk,True,Doritosranch
94.335,True,92917.035,4000,1.97,True,0.27,94.335,Almondjoy,i,92822.7,47,2.24,PayDay,True,Almondjoy
70.965,True,93493.05,4000,1.04,True,-0.09,70.965,Lollipopred,i,93422.085,48,0.95,Nutterbutter,True,Lollipopred
111.58,True,94111.015,4000,1.2,True,-0.54,111.58,Chocolate_mm,u,93999.435,49,0.66,Chocolate_mm,True,100grand_small
115.98,True,94735.99,4000,1.34,True,0.18,115.98,3Musketeers,u,94620.01,50,1.52,3Musketeers,True,Keeblerfudgestripes
31.685,True,95272.84,4000,1.96,True,-0.19,31.685,CheesyDoritos,i,95241.155,51,1.77,Milano,True,CheesyDoritos
20.635,True,95800.72,4000,1.41,True,-0.02,20.635,ChipsAhoy_small,u,95780.085,52,1.39,ChipsAhoy_small,True,Skittles
70.675,True,96378.825,4000,1.19,True,0.08,70.675,BabyRuth,i,96308.15,53,1.27,RitzBitz2,True,BabyRuth
74.115,True,96961.875,4000,2.02,True,-0.52,74.115,Milkduds,i,96887.76,54,1.5,SourSkittles,True,Milkduds
68.07,True,97538.635,4000,2.99,True,-1.02,68.07,PayDay,i,97470.565,55,1.97,starburst,True,PayDay
50.73,True,98098.795,4000,1.5,True,0.02,50.73,Keeblerfudgestripes,i,98048.065,56,1.52,Milkduds,True,Keeblerfudgestripes
235.19,True,98866.77,4000,0.45,True,-0.42,235.19,MilkyWay,u,98631.58,57,0.03,MilkyWay,True,Hersheymilk_several
162.495,True,99537.715,4000,0.85,True,0.56,162.495,Slimjim,u,99375.22,58,1.41,Slimjim,True,ChipsAhoy_small
90.525,True,100137.12,4000,2.4,True,-0.63,90.525,CheesyDoritos,i,100046.595,59,1.77,Cheetos,True,CheesyDoritos
51.865,True,100692.625,4000,1.96,True,-1.2,51.865,Ghiradelli_milk,i,100640.76,60,0.76,Jollyranchergreen,True,Ghiradelli_milk
287.34,True,101510.48,4000,0.76,True,0.65,287.34,Ghiradelli_milk,u,101223.14,61,1.41,Ghiradelli_milk,True,RiceKrispyTreat_small
114.64,True,102127.625,4000,1.41,True,0.11,114.64,Keeblerfudgestripes,i,102012.985,62,1.52,ChipsAhoy_small,True,Keeblerfudgestripes
366.695,True,102999.39,4000,0.45,True,-0.02,366.695,PeanutMMs,i,102632.695,63,0.43,MrsFields,True,PeanutMMs
104.125,True,103606.46,4000,1.09,True,0.19,104.125,Whatchamacallit,i,103502.335,64,1.28,TeddyGrahamschocolate,True,Whatchamacallit
