date,maxTrialTime,rating,receivedResponse,rt,stimulus1,stimulus1Loaded,subjectID,trialDuration,trialEndTime,trialN,trialStartTime
2018-01-26 15:52:08,NaN,3.14,True,417.785,Milkduds,True,MDMMT_0002,417.785,24602.855,50,24185.07
2018-01-26 15:52:08,NaN,4.67,True,353.245,Hersheymilk_several,True,MDMMT_0002,353.245,24958.485,51,24605.24
2018-01-26 15:52:08,NaN,5.93,True,571.205,Lollipopred,True,MDMMT_0002,571.205,25531.995,52,24960.79
2018-01-26 15:52:08,NaN,7.67,True,523.125,Crunch,True,MDMMT_0002,523.125,26057.405,53,25534.28
2018-01-26 15:52:08,NaN,8.7,True,490.54,Ghiradelli_milk,True,MDMMT_0002,490.54,26550.405,54,26059.865
2018-01-26 15:52:08,NaN,9.4,True,542.85,Dots_one,True,MDMMT_0002,542.85,27095.735,55,26552.885
2018-01-26 15:52:08,NaN,10.0,True,474.4,Twix,True,MDMMT_0002,474.4,27572.37,56,27097.97
2018-01-26 15:52:08,NaN,9.57,True,474.49,Almondjoy,True,MDMMT_0002,474.49,28049.2,57,27574.71
2018-01-26 15:52:08,NaN,7.68,True,498.62,FigNewton_small,True,MDMMT_0002,498.62,28550.215,58,28051.595
2018-01-26 15:52:08,NaN,5.17,True,377.51,CheesyDoritos,True,MDMMT_0002,377.51,28930.145,59,28552.635
