date,stimulus1_bid,stimulus1_height,stimulus1_id,stimulus1_imgObject,stimulus1_key,stimulus1_loaded,stimulus1_loadedTime,stimulus1_origHeight,stimulus1_origWidth,stimulus1_positionCoords,stimulus1_positionName,stimulus1_rescaleHeight,stimulus1_src,stimulus1_trialN,stimulus1_width,stimulus1_widthPercent,stimulus2_bid,stimulus2_height,stimulus2_id,stimulus2_imgObject,stimulus2_key,stimulus2_loaded,stimulus2_loadedTime,stimulus2_origHeight,stimulus2_origWidth,stimulus2_positionCoords,stimulus2_positionName,stimulus2_rescaleHeight,stimulus2_src,stimulus2_trialN,stimulus2_width,stimulus2_widthPercent,subjectID
2018-01-26 15:56:02,7.43,432,PeanutMMs,{},u,True,287.805,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/PeanutMMs.bmp,0,576,0.45,4.7,432,Whatchamacallit,{},i,True,289.505,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Whatchamacallit.bmp,0,576,0.45,MDMMT_0002
2018-01-26 15:56:02,1.98,432,Hersheykisses,{},u,True,1156.92,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Hersheykisses.bmp,1,576,0.45,4.71,432,Ghiradelli_milk,{},i,True,1164.125,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Ghiradelli_milk.bmp,1,576,0.45,MDMMT_0002
2018-01-26 15:56:02,3.1,432,FigNewton_small,{},u,True,1833.92,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/FigNewton_small.bmp,2,576,0.45,1.39,432,ChipsAhoy_small,{},i,True,1836.91,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/ChipsAhoy_small.bmp,2,576,0.45,MDMMT_0002
2018-01-26 15:56:02,5.79,432,Laysclassic,{},u,True,2517.955,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Laysclassic.bmp,3,576,0.45,5.53,432,Goldfish,{},i,True,2520.62,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Goldfish.bmp,3,576,0.45,MDMMT_0002
2018-01-26 15:56:02,4.53,432,Oreos,{},u,True,3167.875,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Oreos.bmp,4,576,0.45,4.17,432,3Musketeers,{},i,True,3168.98,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/3Musketeers.bmp,4,576,0.45,MDMMT_0002
2018-01-26 15:56:02,3.04,432,Doritosranch,{},u,True,3763.27,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Doritosranch.bmp,5,576,0.45,2.34,432,MilkyWay,{},i,True,3769.46,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/MilkyWay.bmp,5,576,0.45,MDMMT_0002
2018-01-26 15:56:02,4.65,432,Toberlorone,{},u,True,4372.76,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Toberlorone.bmp,6,576,0.45,3.75,432,Sourpatch,{},i,True,4373.955,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Sourpatch.bmp,6,576,0.45,MDMMT_0002
2018-01-26 15:56:02,8.78,432,Ghiradelli_milk_Almonds,{},u,True,5060.98,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Ghiradelli_milk_Almonds.bmp,7,576,0.45,6.25,432,Keeblerfudgestripes,{},i,True,5066.35,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Keeblerfudgestripes.bmp,7,576,0.45,MDMMT_0002
2018-01-26 15:56:02,8.78,432,Ghiradelli_milk_Almonds,{},u,True,5698.465,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Ghiradelli_milk_Almonds.bmp,8,576,0.45,4.71,432,Ghiradelli_milk,{},i,True,5698.715,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Ghiradelli_milk.bmp,8,576,0.45,MDMMT_0002
2018-01-26 15:56:02,6.04,432,Chocolate_mm,{},u,True,6327.245,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Chocolate_mm.bmp,9,576,0.45,5.81,432,PringlesRed,{},i,True,6333.125,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/PringlesRed.bmp,9,576,0.45,MDMMT_0002
2018-01-26 15:56:02,4.71,432,Ghiradelli_milk,{},u,True,7039.875,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Ghiradelli_milk.bmp,10,576,0.45,4.65,432,Toberlorone,{},i,True,7040.13,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Toberlorone.bmp,10,576,0.45,MDMMT_0002
2018-01-26 15:56:02,8.17,432,100grand_small,{},u,True,7813.36,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/100grand_small.bmp,11,576,0.45,6.81,432,Cheezits,{},i,True,7820.69,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Cheezits.bmp,11,576,0.45,MDMMT_0002
2018-01-26 15:56:02,1.12,432,Cheetos,{},u,True,8546.53,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Cheetos.bmp,12,576,0.45,2.4,432,Slimjim,{},i,True,8553.45,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/Slimjim.bmp,12,576,0.45,MDMMT_0002
2018-01-26 15:56:02,4.73,432,Funyuns_small,{},u,True,9271,432,576,"[38.4, 135.5]",LEFT,False,/static/stim/Funyuns_small.bmp,13,576,0.45,8.98,432,TootsieRolls,{},i,True,9283.385,432,576,"[665.6, 135.5]",RIGHT,False,/static/stim/TootsieRolls.bmp,13,576,0.45,MDMMT_0002
