date,delta,maxTrialTime,receivedResponse,rsp,rt,selected,stimulus1,stimulus1Bid,stimulus1Loaded,stimulus2,stimulus2Bid,stimulus2Loaded,subjectID,trialDuration,trialEndTime,trialN,trialStartTime
2018-01-26 15:56:03,-0.06,4000,True,u,336.3,WheatThins,WheatThins,6.87,True,Cheezits,6.81,True,MDMMT_0002,336.3,26617.625,34,26281.325
2018-01-26 15:56:03,0.0,4000,True,i,369.635,MilkyWay,Skittles,2.34,True,MilkyWay,2.34,True,MDMMT_0002,369.635,27492.545,35,27122.91
2018-01-26 15:56:03,0.0,4000,True,u,238.87,Ghiradelli_milk,Ghiradelli_milk,4.71,True,FlamingCheetos,4.71,True,MDMMT_0002,238.87,28240.485,36,28001.615
2018-01-26 15:56:03,-0.21,4000,True,u,257.355,Ruffles,Ruffles,3.14,True,Lollipopred,2.93,True,MDMMT_0002,257.355,29005.43,37,28748.075
2018-01-26 15:56:03,-4.5,4000,True,i,296.215,starburst,MrGoodbar,9.51,True,starburst,5.01,True,MDMMT_0002,296.215,29808.44,38,29512.225
2018-01-26 15:56:03,-5.62,4000,True,i,242.205,Cheese_PeanutButterCrackers,MrGoodbar,9.51,True,Cheese_PeanutButterCrackers,3.89,True,MDMMT_0002,242.205,30555.41,39,30313.205
2018-01-26 15:56:03,-0.8,4000,True,i,285.11,RitzBitz2,PringlesRed,5.81,True,RitzBitz2,5.01,True,MDMMT_0002,285.11,31346.23,40,31061.12
2018-01-26 15:56:03,3.65,4000,True,i,226.715,Reeses,Keeblerfudgestripes,6.25,True,Reeses,9.9,True,MDMMT_0002,226.715,32082.335,41,31855.62
2018-01-26 15:56:03,0.04,4000,True,i,306.395,Ruffles,RiceKrispyTreat_small,3.1,True,Ruffles,3.14,True,MDMMT_0002,306.395,32893.26,42,32586.865
2018-01-26 15:56:03,0.0,4000,True,u,245.275,FigNewton_small,FigNewton_small,3.1,True,RiceKrispyTreat_small,3.1,True,MDMMT_0002,245.275,33643.275,43,33398.0
2018-01-26 15:56:03,-0.25,4000,True,u,260.6,FamousAmos_small,FamousAmos_small,4.34,True,Snickers,4.09,True,MDMMT_0002,260.6,34409.24,44,34148.64
2018-01-26 15:56:03,5.47,4000,True,i,184.465,Ghiradelli_milk_Almonds,Hersheymilk_several,3.31,True,Ghiradelli_milk_Almonds,8.78,True,MDMMT_0002,184.465,35101.155,45,34916.69
2018-01-26 15:56:03,0.09,4000,True,u,191.215,MilkyWay,MilkyWay,2.34,True,Milkduds,2.43,True,MDMMT_0002,191.215,35801.165,46,35609.95
2018-01-26 15:56:03,0.06,4000,True,i,203.875,FlamingCheetos,Toberlorone,4.65,True,FlamingCheetos,4.71,True,MDMMT_0002,203.875,36514.065,47,36310.19
2018-01-26 15:56:03,-3.25,4000,True,u,153.185,Ghiradelli_milk_Almonds,Ghiradelli_milk_Almonds,8.78,True,Goldfish,5.53,True,MDMMT_0002,153.185,37176.08,48,37022.895
2018-01-26 15:56:03,-0.36,4000,True,i,230.395,Cheetos,TeddyGrahamschocolate,1.48,True,Cheetos,1.12,True,MDMMT_0002,230.395,37914.905,49,37684.51
2018-01-26 15:56:03,-2.27,4000,True,i,295.53,KitKat_small,Cheezits,6.81,True,KitKat_small,4.54,True,MDMMT_0002,295.53,38719.005,50,38423.475
2018-01-26 15:56:03,0.75,4000,True,i,225.03,Dots_one,PopTartsStrawberry,9.15,True,Dots_one,9.9,True,MDMMT_0002,225.03,39453.005,51,39227.975
2018-01-26 15:56:03,0.28,4000,True,i,240.995,starburst,Funyuns_small,4.73,True,starburst,5.01,True,MDMMT_0002,240.995,40202.97,52,39961.975
2018-01-26 15:56:03,0.14,4000,True,i,235.94,Cheese_PeanutButterCrackers,Sourpatch,3.75,True,Cheese_PeanutButterCrackers,3.89,True,MDMMT_0002,235.94,40947.94,53,40712.0
2018-01-26 15:56:03,0.04,4000,True,i,254.19,Ruffles,FigNewton_small,3.1,True,Ruffles,3.14,True,MDMMT_0002,254.19,41710.86,54,41456.67
2018-01-26 15:56:03,-1.66,4000,True,u,310.785,PayDay,PayDay,4.06,True,Slimjim,2.4,True,MDMMT_0002,310.785,42530.875,55,42220.09
2018-01-26 15:56:03,-1.08,4000,True,u,160.605,SourSkittles,SourSkittles,4.18,True,CheesyDoritos,3.1,True,MDMMT_0002,160.605,43200.79,56,43040.185
2018-01-26 15:56:03,4.08,4000,True,u,261.57,Granolabar,Granolabar,0.01,True,Snickers,4.09,True,MDMMT_0002,261.57,43970.8,57,43709.23
2018-01-26 15:56:03,1.7,4000,True,u,255.77,AnimalCrackers,AnimalCrackers,1.98,True,Nutterbutter,3.68,True,MDMMT_0002,255.77,44732.77,58,44477.0
2018-01-26 15:56:03,-1.06,4000,True,u,184.545,Hersheykisses,Hersheykisses,1.98,True,Milano,0.92,True,MDMMT_0002,184.545,45423.74,59,45239.195
2018-01-26 15:56:03,-0.36,4000,True,u,227.555,starburst,starburst,5.01,True,Toberlorone,4.65,True,MDMMT_0002,227.555,46157.71,60,45930.155
2018-01-26 15:56:03,4.3,4000,True,u,252.735,Riprolls,Riprolls,4.85,True,PopTartsStrawberry,9.15,True,MDMMT_0002,252.735,46919.67,61,46666.935
2018-01-26 15:56:03,-2.47,4000,True,i,218.68,PeanutMMs,Reeses,9.9,True,PeanutMMs,7.43,True,MDMMT_0002,218.68,47642.63,62,47423.95
2018-01-26 15:56:03,1.08,4000,True,i,207.075,Laysclassic,Ghiradelli_milk,4.71,True,Laysclassic,5.79,True,MDMMT_0002,207.075,48358.56,63,48151.485
2018-01-26 15:56:03,-2.3,4000,True,i,166.83,Almondjoy,Jollyranchergreen,2.67,True,Almondjoy,0.37,True,MDMMT_0002,166.83,49029.52,64,48862.69
2018-01-26 15:56:03,-1.92,4000,True,i,215.105,Cheetos,Doritosranch,3.04,True,Cheetos,1.12,True,MDMMT_0002,215.105,49753.545,65,49538.44
2018-01-26 15:56:03,-0.63,4000,True,i,79.755,Laffytaffyred_one,Oreos,4.53,True,Laffytaffyred_one,3.9,True,MDMMT_0002,79.755,50342.295,66,50262.54
2018-01-26 15:56:03,-0.55,4000,True,i,76.105,Almondjoy,Milano,0.92,True,Almondjoy,0.37,True,MDMMT_0002,76.105,50927.4,67,50851.295
2018-01-26 15:56:03,0.78,4000,True,i,108.76,Snickers,Hersheymilk_several,3.31,True,Snickers,4.09,True,MDMMT_0002,108.76,51539.35,68,51430.59
2018-01-26 15:56:03,-0.51,4000,True,i,92.15,Goldfish,Chocolate_mm,6.04,True,Goldfish,5.53,True,MDMMT_0002,92.15,52140.365,69,52048.215
2018-01-26 15:56:03,-0.03,4000,True,i,153.975,Slimjim,Milkduds,2.43,True,Slimjim,2.4,True,MDMMT_0002,153.975,52798.34,70,52644.365
2018-01-26 15:56:03,-0.81,4000,True,i,147.13,Cheese_PeanutButterCrackers,Whatchamacallit,4.7,True,Cheese_PeanutButterCrackers,3.89,True,MDMMT_0002,147.13,53450.33,71,53303.2
2018-01-26 15:56:03,-1.62,4000,True,i,164.23,TeddyGrahamschocolate,RiceKrispyTreat_small,3.1,True,TeddyGrahamschocolate,1.48,True,MDMMT_0002,164.23,54123.275,72,53959.045
2018-01-26 15:56:03,0.37,4000,True,i,115.525,Nutterbutter,Hersheymilk_several,3.31,True,Nutterbutter,3.68,True,MDMMT_0002,115.525,54742.26,73,54626.735
2018-01-26 15:56:03,-3.41,4000,True,i,194.705,Cheetos,Oreos,4.53,True,Cheetos,1.12,True,MDMMT_0002,194.705,55441.285,74,55246.58
2018-01-26 15:56:03,1.42,4000,True,i,108.145,MilkyWay,Milano,0.92,True,MilkyWay,2.34,True,MDMMT_0002,108.145,56058.255,75,55950.11
2018-01-26 15:56:03,0.48,4000,True,i,101.16,KitKat_small,PayDay,4.06,True,KitKat_small,4.54,True,MDMMT_0002,101.16,56668.23,76,56567.07
2018-01-26 15:56:03,2.25,4000,True,i,143.4,BabyRuth,Oreos,4.53,True,BabyRuth,6.78,True,MDMMT_0002,143.4,57316.205,77,57172.805
2018-01-26 15:56:03,-3.77,4000,True,i,124.225,RiceKrispyTreat_small,WheatThins,6.87,True,RiceKrispyTreat_small,3.1,True,MDMMT_0002,124.225,57949.125,78,57824.9
2018-01-26 15:56:03,-2.81,4000,True,i,145.25,Crunch,Riprolls,4.85,True,Crunch,2.04,True,MDMMT_0002,145.25,58602.13,79,58456.88
2018-01-26 15:56:03,-3.42,4000,True,i,59.415,Milano,FamousAmos_small,4.34,True,Milano,0.92,True,MDMMT_0002,59.415,59166.11,80,59106.695
2018-01-26 15:56:03,0.0,4000,True,i,94.6,Dots_one,Reeses,9.9,True,Dots_one,9.9,True,MDMMT_0002,94.6,59785.065,81,59690.465
2018-01-26 15:56:03,-0.92,4000,True,u,139.105,Reeses,Reeses,9.9,True,TootsieRolls,8.98,True,MDMMT_0002,139.105,60431.895,82,60292.79
2018-01-26 15:56:03,-0.73,4000,True,u,74.43,MrGoodbar,MrGoodbar,9.51,True,Ghiradelli_milk_Almonds,8.78,True,MDMMT_0002,74.43,61013.045,83,60938.615
2018-01-26 15:56:03,0.65,4000,True,u,192.37,PayDay,PayDay,4.06,True,Ghiradelli_milk,4.71,True,MDMMT_0002,192.37,61709.01,84,61516.64
2018-01-26 15:56:03,0.33,4000,True,u,145.875,Jollyranchergreen,Jollyranchergreen,2.67,True,Butterfinger,3.0,True,MDMMT_0002,145.875,62360.965,85,62215.09
2018-01-26 15:56:03,1.86,4000,True,u,12.76,SourSkittles,SourSkittles,4.18,True,Chocolate_mm,6.04,True,MDMMT_0002,12.76,62883.955,86,62871.195
2018-01-26 15:56:03,0.16,4000,True,u,52.01,Laffytaffyred_one,Laffytaffyred_one,3.9,True,PayDay,4.06,True,MDMMT_0002,52.01,63444.865,87,63392.855
2018-01-26 15:56:03,-0.11,4000,True,u,478.59,3Musketeers,3Musketeers,4.17,True,PayDay,4.06,True,MDMMT_0002,478.59,64447.965,88,63969.375
2018-01-26 15:56:03,3.71,4000,True,u,70.59,FigNewton_small,FigNewton_small,3.1,True,Cheezits,6.81,True,MDMMT_0002,70.59,65023.64,89,64953.05
2018-01-26 15:56:03,1.67,4000,True,u,212.025,Almondjoy,Almondjoy,0.37,True,Crunch,2.04,True,MDMMT_0002,212.025,65748.825,90,65536.8
2018-01-26 15:56:03,0.36,4000,True,u,42.83,PopTartsStrawberry,PopTartsStrawberry,9.15,True,MrGoodbar,9.51,True,MDMMT_0002,42.83,66298.785,91,66255.955
2018-01-26 15:56:03,5.84,4000,True,i,2919.365,Dots_one,PayDay,4.06,True,Dots_one,9.9,True,MDMMT_0002,2919.365,69756.695,92,66837.33
2018-01-26 15:56:03,-2.2,4000,True,i,245.415,BabyRuth,TootsieRolls,8.98,True,BabyRuth,6.78,True,MDMMT_0002,245.415,70510.57,93,70265.155
2018-01-26 15:56:03,-0.35,4000,True,u,476.8,Oreos,Oreos,4.53,True,SourSkittles,4.18,True,MDMMT_0002,476.8,71494.615,94,71017.815
2018-01-26 15:56:03,-0.88,4000,True,u,618.165,MrsFields,MrsFields,0.89,True,Granolabar,0.01,True,MDMMT_0002,618.165,72619.47,95,72001.305
2018-01-26 15:56:03,-1.55,4000,True,u,2204.625,Cheese_PeanutButterCrackers,Cheese_PeanutButterCrackers,3.89,True,Skittles,2.34,True,MDMMT_0002,2204.625,75332.35,96,73127.725
2018-01-26 15:56:03,3.47,4000,True,i,562.125,MrGoodbar,Chocolate_mm,6.04,True,MrGoodbar,9.51,True,MDMMT_0002,562.125,76402.3,97,75840.175
2018-01-26 15:56:03,0.62,4000,True,u,289.24,Keeblerfudgestripes,Keeblerfudgestripes,6.25,True,WheatThins,6.87,True,MDMMT_0002,289.24,77200.245,98,76911.005
2018-01-26 15:56:03,-2.75,4000,True,u,834.49,Funyuns_small,Funyuns_small,4.73,True,AnimalCrackers,1.98,True,MDMMT_0002,834.49,78543.205,99,77708.715
2018-01-26 15:56:03,-0.08,4000,True,u,683.135,Fritos,Fritos,1.56,True,TeddyGrahamschocolate,1.48,True,MDMMT_0002,683.135,79734.28,100,79051.145
2018-01-26 15:56:03,-0.2,4000,True,u,478.365,KitKat_small,KitKat_small,4.54,True,FamousAmos_small,4.34,True,MDMMT_0002,478.365,80721.24,101,80242.875
2018-01-26 15:56:03,-0.08,4000,True,i,981.995,Snickers,3Musketeers,4.17,True,Snickers,4.09,True,MDMMT_0002,981.995,82212.17,102,81230.175
2018-01-26 15:56:03,2.34,4000,True,u,1182.195,Cheezits,Cheezits,6.81,True,PopTartsStrawberry,9.15,True,MDMMT_0002,1182.195,83899.93,103,82717.735
2018-01-26 15:56:03,-2.08,4000,True,u,3292.46,Cheezits,Cheezits,6.81,True,Funyuns_small,4.73,True,MDMMT_0002,3292.46,87701.8,104,84409.34
2018-01-26 15:56:03,-1.52,4000,True,u,3922.0,Ruffles,Ruffles,3.14,True,Twix,1.62,True,MDMMT_0002,3922.0,92131.73,105,88209.73
2018-01-26 15:56:03,3.15,4000,True,u,1246.255,ChipsAhoy_small,ChipsAhoy_small,1.39,True,KitKat_small,4.54,True,MDMMT_0002,1246.255,93887.645,106,92641.39
2018-01-26 15:56:03,-0.1,4000,True,u,1462.31,RiceKrispyTreat_small,RiceKrispyTreat_small,3.1,True,Butterfinger,3.0,True,MDMMT_0002,1462.31,95856.57,107,94394.26
2018-01-26 15:56:03,3.34,4000,True,u,2068.085,PringlesRed,PringlesRed,5.81,True,PopTartsStrawberry,9.15,True,MDMMT_0002,2068.085,98433.32,108,96365.235
2018-01-26 15:56:03,0.73,4000,True,u,375.91,MrsFields,MrsFields,0.89,True,Twix,1.62,True,MDMMT_0002,375.91,99317.28,109,98941.37
2018-01-26 15:56:03,0.04,4000,True,u,2603.2,Butterfinger,Butterfinger,3.0,True,Doritosranch,3.04,True,MDMMT_0002,2603.2,102429.285,110,99826.085
2018-01-26 15:56:03,-1.97,4000,True,u,280.915,AnimalCrackers,AnimalCrackers,1.98,True,Granolabar,0.01,True,MDMMT_0002,280.915,103218.105,111,102937.19
2018-01-26 15:56:03,0.09,4000,True,i,528.885,Milkduds,Skittles,2.34,True,Milkduds,2.43,True,MDMMT_0002,528.885,104256.045,112,103727.16
2018-01-26 15:56:03,6.0,4000,True,u,2003.61,Laffytaffyred_one,Laffytaffyred_one,3.9,True,Reeses,9.9,True,MDMMT_0002,2003.61,106769.075,113,104765.465
2018-01-26 15:56:03,0.67,4000,True,i,2917.985,RiceKrispyTreat_small,Milkduds,2.43,True,RiceKrispyTreat_small,3.1,True,MDMMT_0002,2917.985,110195.77,114,107277.785
2018-01-26 15:56:03,-0.53,4000,True,u,2151.315,BabyRuth,BabyRuth,6.78,True,Keeblerfudgestripes,6.25,True,MDMMT_0002,2151.315,112855.805,115,110704.49
2018-01-26 15:56:03,-0.58,4000,True,u,263.21,Cheese_PeanutButterCrackers,Cheese_PeanutButterCrackers,3.89,True,Hersheymilk_several,3.31,True,MDMMT_0002,263.21,113627.67,116,113364.46
2018-01-26 15:56:03,2.08,4000,False,NaN,4003.66,NaN,Milano,0.92,True,Butterfinger,3.0,True,MDMMT_0002,4003.66,118140.185,117,114136.525
2018-01-26 15:56:03,-0.45,4000,True,u,1314.195,FamousAmos_small,FamousAmos_small,4.34,True,Cheese_PeanutButterCrackers,3.89,True,MDMMT_0002,1314.195,119960.49,118,118646.295
2018-01-26 15:56:03,0.25,4000,True,u,202.24,Laysclassic,Laysclassic,5.79,True,Chocolate_mm,6.04,True,MDMMT_0002,202.24,120671.385,119,120469.145
2018-01-26 15:56:03,0.39,4000,True,i,199.975,Dots_one,MrGoodbar,9.51,True,Dots_one,9.9,True,MDMMT_0002,199.975,121380.35,120,121180.375
2018-01-26 15:56:03,-1.38,4000,True,u,14.825,Butterfinger,Butterfinger,3.0,True,Twix,1.62,True,MDMMT_0002,14.825,121904.315,121,121889.49
2018-01-26 15:56:03,3.25,4000,True,u,179.955,Butterfinger,Butterfinger,3.0,True,Keeblerfudgestripes,6.25,True,MDMMT_0002,179.955,122592.29,122,122412.335
2018-01-26 15:56:04,-0.33,4000,True,u,2590.76,Jollyranchergreen,Jollyranchergreen,2.67,True,MilkyWay,2.34,True,MDMMT_0002,2590.76,125688.235,123,123097.475
2018-01-26 15:56:04,-0.43,4000,True,u,1898.97,SourSkittles,SourSkittles,4.18,True,Sourpatch,3.75,True,MDMMT_0002,1898.97,128096.13,124,126197.16
2018-01-26 15:56:04,-2.42,4000,True,i,55.195,Granolabar,Milkduds,2.43,True,Granolabar,0.01,True,MDMMT_0002,55.195,128659.88,125,128604.685
2018-01-26 15:56:04,0.36,4000,True,u,453.555,Twix,Twix,1.62,True,AnimalCrackers,1.98,True,MDMMT_0002,453.555,129634.065,126,129180.51
2018-01-26 15:56:04,-0.31,4000,True,u,61.4,RitzBitz2,RitzBitz2,5.01,True,Whatchamacallit,4.7,True,MDMMT_0002,61.4,130204.725,127,130143.325
2018-01-26 15:56:04,-2.64,4000,True,u,115.68,MrGoodbar,MrGoodbar,9.51,True,WheatThins,6.87,True,MDMMT_0002,115.68,130832.93,128,130717.25
2018-01-26 15:56:04,-2.04,4000,True,u,3919.315,Lollipopred,Lollipopred,2.93,True,MrsFields,0.89,True,MDMMT_0002,3919.315,135256.075,129,131336.76
2018-01-26 15:56:04,-0.75,4000,True,u,78.645,Reeses,Reeses,9.9,True,PopTartsStrawberry,9.15,True,MDMMT_0002,78.645,135842.76,130,135764.115
2018-01-26 15:56:04,0.11,4000,True,u,248.73,Lollipopred,Lollipopred,2.93,True,Doritosranch,3.04,True,MDMMT_0002,248.73,136596.675,131,136347.945
2018-01-26 15:56:04,1.06,4000,True,i,31.91,Doritosranch,Hersheykisses,1.98,True,Doritosranch,3.04,True,MDMMT_0002,31.91,137137.6,132,137105.69
2018-01-26 15:56:04,-3.13,4000,True,i,162.485,Slimjim,Goldfish,5.53,True,Slimjim,2.4,True,MDMMT_0002,162.485,137852.615,133,137690.13
2018-01-26 15:56:04,0.16,4000,True,u,292.275,Riprolls,Riprolls,4.85,True,RitzBitz2,5.01,True,MDMMT_0002,292.275,138653.59,134,138361.315
2018-01-26 15:56:04,-1.19,4000,True,u,38.875,Jollyranchergreen,Jollyranchergreen,2.67,True,TeddyGrahamschocolate,1.48,True,MDMMT_0002,38.875,139198.575,135,139159.7
2018-01-26 15:56:04,4.89,4000,True,u,153.375,RitzBitz2,RitzBitz2,5.01,True,Reeses,9.9,True,MDMMT_0002,153.375,139857.525,136,139704.15
2018-01-26 15:56:04,5.3,4000,True,u,147.155,Nutterbutter,Nutterbutter,3.68,True,TootsieRolls,8.98,True,MDMMT_0002,147.155,140513.475,137,140366.32
2018-01-26 15:56:04,0.53,4000,True,u,29.295,Slimjim,Slimjim,2.4,True,Lollipopred,2.93,True,MDMMT_0002,29.295,141048.48,138,141019.185
2018-01-26 15:56:04,0.19,4000,True,i,275.46,Snickers,Laffytaffyred_one,3.9,True,Snickers,4.09,True,MDMMT_0002,275.46,141876.44,139,141600.98
2018-01-26 15:56:04,-3.11,4000,True,u,151.275,Chocolate_mm,Chocolate_mm,6.04,True,Lollipopred,2.93,True,MDMMT_0002,151.275,142532.395,140,142381.12
2018-01-26 15:56:04,-0.31,4000,True,u,196.88,PayDay,PayDay,4.06,True,Sourpatch,3.75,True,MDMMT_0002,196.88,143238.375,141,143041.495
2018-01-26 15:56:04,0.81,4000,True,u,160.145,Laffytaffyred_one,Laffytaffyred_one,3.9,True,FlamingCheetos,4.71,True,MDMMT_0002,160.145,143905.3,142,143745.155
2018-01-26 15:56:04,-0.04,4000,True,i,97.855,CheesyDoritos,Ruffles,3.14,True,CheesyDoritos,3.1,True,MDMMT_0002,97.855,144509.315,143,144411.46
2018-01-26 15:56:04,0.78,4000,True,u,88.72,starburst,starburst,5.01,True,Laysclassic,5.79,True,MDMMT_0002,88.72,145104.265,144,145015.545
2018-01-26 15:56:04,1.22,4000,True,i,217.54,Oreos,Hersheymilk_several,3.31,True,Oreos,4.53,True,MDMMT_0002,217.54,145831.025,145,145613.485
