date,delta,maxTrialTime,receivedResponse,rsp,rt,selected,stimulus1,stimulus1Bid,stimulus1Loaded,stimulus2,stimulus2Bid,stimulus2Loaded,subjectID,trialDuration,trialEndTime,trialN,trialStartTime
2018-01-03 11:16:10,0.97,4000,True,u,1104.125,Nutterbutter,Nutterbutter,0.51,True,Ghiradelli_milk_Almonds,1.48,True,MDMMT0004,1104.125,1352.125,0,248.0
2018-01-03 11:16:10,6.7,4000,True,u,13.985,Ghiradelli_milk_Almonds,Ghiradelli_milk_Almonds,1.48,True,Jollyranchergreen,8.18,False,MDMMT0004,13.985,1870.95,1,1856.965
2018-01-03 11:16:10,-2.47,4000,True,i,59.145,Oreos,Funyuns_small,6.09,True,Oreos,3.62,True,MDMMT0004,59.145,2433.99,2,2374.845
2018-01-03 11:16:10,0.31,4000,True,u,7.765,Fritos,Fritos,1.14,False,PeanutMMs,1.45,False,MDMMT0004,7.765,2945.9,3,2938.135
2018-01-03 11:16:10,-6.27,4000,True,i,56.15,Goldfish,PopTartsStrawberry,9.98,True,Goldfish,3.71,True,MDMMT0004,56.15,3509.015,4,3452.865
2018-01-03 11:16:10,-2.58,4000,True,i,381.105,starburst,PopTartsStrawberry,9.98,True,starburst,7.4,True,MDMMT0004,381.105,4415.065,5,4033.96
2018-01-03 11:16:10,-0.69,4000,True,u,63.245,MrGoodbar,MrGoodbar,0.78,True,Milano,0.09,True,MDMMT0004,63.245,4981.965,6,4918.72
2018-01-03 11:16:10,-0.41,4000,True,u,118.54,Nutterbutter,Nutterbutter,0.51,True,Chocolate_mm,0.1,True,MDMMT0004,118.54,5608.985,7,5490.445
2018-01-03 11:16:10,-0.09,4000,True,u,133.285,TootsieRolls,TootsieRolls,0.18,True,Milano,0.09,True,MDMMT0004,133.285,6245.84,8,6112.555
2018-01-03 11:16:10,-3.0,4000,True,u,128.4,Milkduds,Milkduds,9.34,True,Almondjoy,6.34,True,MDMMT0004,128.4,6879.98,9,6751.58
2018-01-03 11:16:10,1.75,4000,True,u,174.51,Keeblerfudgestripes,Keeblerfudgestripes,7.96,True,TeddyGrahamschocolate,9.71,True,MDMMT0004,174.51,7557.775,10,7383.265
2018-01-03 11:16:10,-0.94,4000,True,i,103.645,Toberlorone,Fritos,1.14,True,Toberlorone,0.2,True,MDMMT0004,103.645,8164.83,11,8061.185
2018-01-03 11:16:10,5.67,4000,True,u,910.45,Ghiradelli_milk,Ghiradelli_milk,0.67,True,Almondjoy,6.34,True,MDMMT0004,910.45,9578.77,12,8668.32
2018-01-03 11:16:10,-0.06,4000,True,u,280.22,100grand_small,100grand_small,0.43,True,CheesyDoritos,0.37,True,MDMMT0004,280.22,10362.73,13,10082.51
2018-01-03 11:16:10,-0.17,4000,True,i,371.58,PringlesRed,Ghiradelli_milk,0.67,True,PringlesRed,0.5,True,MDMMT0004,371.58,11242.71,14,10871.13
2018-01-03 11:16:10,0.67,4000,True,i,1158.295,Almondjoy,Cheezits,5.67,True,Almondjoy,6.34,True,MDMMT0004,1158.295,12906.445,15,11748.15
2018-01-03 11:16:10,-0.88,4000,True,u,166.8,Cheetos,Cheetos,4.59,True,Goldfish,3.71,True,MDMMT0004,166.8,13575.585,16,13408.785
2018-01-03 11:16:10,4.64,4000,True,i,186.74,MilkyWay,100grand_small,0.43,True,MilkyWay,5.07,True,MDMMT0004,186.74,14268.595,17,14081.855
2018-01-03 11:16:10,0.25,4000,True,u,98.665,Funyuns_small,Funyuns_small,6.09,True,Almondjoy,6.34,True,MDMMT0004,98.665,14875.545,18,14776.88
2018-01-03 11:16:10,0.08,4000,True,u,185.375,100grand_small,100grand_small,0.43,True,Nutterbutter,0.51,True,MDMMT0004,185.375,15567.595,19,15382.22
2018-01-03 11:16:10,2.18,4000,True,i,263.885,Crunch,KitKat_small,2.53,True,Crunch,4.71,True,MDMMT0004,263.885,16339.895,20,16076.01
2018-01-03 11:16:10,-0.07,4000,True,i,240.295,Laysclassic,Ghiradelli_milk,0.67,True,Laysclassic,0.6,True,MDMMT0004,240.295,17085.43,21,16845.135
2018-01-03 11:16:10,1.65,4000,True,u,147.965,Laffytaffyred_one,Laffytaffyred_one,6.53,True,Jollyranchergreen,8.18,True,MDMMT0004,147.965,17737.45,22,17589.485
2018-01-03 11:16:10,2.63,4000,True,i,39.32,Almondjoy,Goldfish,3.71,True,Almondjoy,6.34,True,MDMMT0004,39.32,18285.295,23,18245.975
2018-01-03 11:16:10,-0.25,4000,True,u,150.955,Cheese_PeanutButterCrackers,Cheese_PeanutButterCrackers,4.84,True,Cheetos,4.59,True,MDMMT0004,150.955,18981.36,24,18830.405
2018-01-03 11:16:10,1.22,4000,True,i,35.705,Cheese_PeanutButterCrackers,Oreos,3.62,True,Cheese_PeanutButterCrackers,4.84,True,MDMMT0004,35.705,19521.22,25,19485.515
2018-01-03 11:16:10,5.5,4000,True,i,42.785,Doritosranch,Butterfinger,1.06,True,Doritosranch,6.56,True,MDMMT0004,42.785,20069.145,26,20026.36
2018-01-03 11:16:10,-0.08,4000,False,NaN,4107.935,NaN,Fritos,1.14,True,Butterfinger,1.06,True,MDMMT0004,4107.935,24685.655,27,20577.72
2018-01-03 11:16:10,-1.88,4000,False,NaN,5039.655,NaN,FlamingCheetos,2.31,True,100grand_small,0.43,True,MDMMT0004,5039.655,30791.73,28,25752.075
2018-01-03 11:16:10,0.92,4000,False,NaN,4943.255,NaN,Fritos,1.14,True,Snickers,2.06,True,MDMMT0004,4943.255,36650.13,29,31706.875
2018-01-03 11:16:10,-1.76,4000,False,NaN,5011.945,NaN,Hersheykisses,1.96,True,Toberlorone,0.2,True,MDMMT0004,5011.945,42784.625,30,37772.68
2018-01-03 11:16:10,1.54,4000,False,NaN,5365.585,NaN,PayDay,3.53,True,MilkyWay,5.07,True,MDMMT0004,5365.585,49074.435,31,43708.85
2018-01-03 11:16:10,0.25,4000,False,NaN,4002.865,NaN,TootsieRolls,0.18,True,100grand_small,0.43,True,MDMMT0004,4002.865,53578.46,32,49575.595
2018-01-03 11:16:10,0.84,4000,False,NaN,4001.84,NaN,Hersheymilk_several,9.12,True,Sourpatch,9.96,True,MDMMT0004,4001.84,58083.14,33,54081.3
2018-01-03 11:16:10,-0.82,4000,False,NaN,4003.005,NaN,Lollipopred,0.92,True,Chocolate_mm,0.1,True,MDMMT0004,4003.005,62587.82,34,58584.815
2018-01-03 11:16:10,-1.36,4000,False,NaN,4005.31,NaN,MilkyWay,5.07,True,Goldfish,3.71,True,MDMMT0004,4005.31,67098.49,35,63093.18
